==============================================================================
==============================================================================
Thu. Oct. 6 2016                  LANDSAT 5                       Time: 06:39
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501610054501_02344                          Path / Row - 123 / 39
Reference Image: L51BKT1011255020100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 95.7%
Rank   2 --  4.3%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1230392111   30.52884    112.94067    -0.16     -0.00     0.16     1 
1230392114   30.52735    113.03818    -0.35      0.01     0.35     1 
1230392115   30.52684    113.07068    -0.13     -0.00     0.13     1 
1230392138   30.51282    113.81795     0.19     -0.06     0.20     1 
1230392142   30.50994    113.94786     0.23      0.19     0.29     1 
1230392144   30.50845    114.01280    -0.13      0.10     0.17     1 
1230392154   30.50054    114.33745     0.47     -0.28     0.54     2 
1230392185   30.50443    112.90768    -0.12     -0.28     0.30     1 
1230392186   30.50395    112.94017    -0.43     -0.17     0.46     1 
1230392187   30.50346    112.97267    -0.17     -0.04     0.18     1 
1230392189   30.50246    113.03766    -0.09      0.02     0.09     1 
1230392190   30.50195    113.07015    -0.10      0.29     0.31     1 
1230392217   30.48507    113.94711    -0.15     -0.13     0.20     1 
1230392222   30.48129    114.10942    -0.07      0.13     0.15     1 
1230392259   30.48001    112.87470    -0.57     -0.05     0.57     2 
1230392261   30.47906    112.93968    -0.28     -0.26     0.38     1 
1230392262   30.47857    112.97217    -0.17     -0.08     0.19     1 
1230392263   30.47808    113.00465    -0.24     -0.12     0.27     1 
1230392264   30.47757    113.03714    -0.23     -0.24     0.33     1 
1230392265   30.47706    113.06963     0.06     -0.33     0.34     1 
1230392298   30.45565    114.14108     0.59      0.07     0.59     2 
1230392333   30.45558    112.84175    -0.48     -0.14     0.50     1 
1230392334   30.45512    112.87423    -0.20     -0.14     0.25     1 
1230392335   30.45465    112.90671    -0.25     -0.15     0.29     1 
1230392336   30.45417    112.93919    -0.20     -0.12     0.23     1 
1230392337   30.45368    112.97167    -0.11     -0.10     0.15     1 
1230392338   30.45319    113.00414    -0.13     -0.09     0.16     1 
1230392342   30.45113    113.13405     0.04      0.16     0.16     1 
1230392343   30.45059    113.16652    -0.51      0.15     0.53     2 
1230392372   30.43156    114.10784    -0.32      0.06     0.33     1 
1230392377   30.42759    114.27003     0.45      0.04     0.45     1 
1230392380   30.42511    114.36734    -0.05     -0.20     0.20     1 
1230392381   30.42427    114.39977     0.07      0.11     0.13     1 
1230392386   30.41994    114.56190    -0.03     -0.13     0.13     1 
1230392408   30.43069    112.84128    -0.05     -0.10     0.11     1 
1230392409   30.43023    112.87375    -0.13      0.22     0.26     1 
1230392410   30.42976    112.90622    -0.34      0.01     0.34     1 
1230392411   30.42928    112.93869    -0.39     -0.16     0.42     1 
1230392412   30.42879    112.97116    -0.13     -0.17     0.21     1 
1230392413   30.42830    113.00364    -0.36     -0.13     0.38     1 
1230392414   30.42779    113.03610    -0.31     -0.15     0.35     1 
1230392415   30.42728    113.06857    -0.23      0.01     0.23     1 
1230392419   30.42516    113.19844     0.06      0.08     0.10     1 
1230392446   30.40745    114.07461     0.04     -0.04     0.06     1 
1230392454   30.40108    114.33406    -0.05     -0.08     0.10     1 
1230392456   30.39941    114.39890    -0.32     -0.38     0.50     1 
1230392483   30.40579    112.84081    -0.30     -0.19     0.35     1 
1230392485   30.40486    112.90574    -0.23     -0.05     0.24     1 
1230392486   30.40438    112.93820    -0.14     -0.12     0.18     1 
1230392487   30.40390    112.97066    -0.18     -0.11     0.21     1 
1230392488   30.40340    113.00313    -0.19     -0.16     0.24     1 
1230392490   30.40239    113.06805    -0.18     -0.03     0.18     1 
1230392516   30.38630    113.91168     0.11     -0.01     0.11     1 
1230392517   30.38557    113.94411     0.08      0.05     0.10     1 
1230392520   30.38334    114.04140    -0.21     -0.05     0.21     1 
1230392521   30.38258    114.07383    -0.01      0.09     0.10     1 
1230392558   30.38090    112.84034    -0.11     -0.16     0.19     1 
1230392559   30.38044    112.87280    -0.17     -0.07     0.19     1 
1230392560   30.37997    112.90525    -0.24      0.14     0.28     1 
1230392561   30.37949    112.93771    -0.06      0.37     0.37     1 
1230392562   30.37901    112.97016    -0.23     -0.21     0.31     1 
1230392564   30.37801    113.03507    -0.22     -0.08     0.23     1 
1230392568   30.37592    113.16487    -0.12      0.04     0.13     1 
1230392569   30.37538    113.19732    -0.18     -0.16     0.24     1 
1230392595   30.35847    114.04063    -0.04     -0.03     0.05     1 
1230392596   30.35771    114.07305     0.04      0.07     0.08     1 
1230392597   30.35695    114.10547     0.37      0.36     0.51     2 
1230392601   30.35380    114.23513     0.05      0.11     0.12     1 
1230392607   30.34884    114.42959    -0.06     -0.06     0.08     1 
1230392609   30.34712    114.49440    -0.08      0.08     0.11     1 
1230392610   30.34625    114.52680    -0.03      0.16     0.17     1 
1230392616   30.34085    114.72118     0.12     -0.21     0.24     1 
1230392633   30.35601    112.83988    -0.23     -0.33     0.40     1 
1230392634   30.35555    112.87233    -0.31     -0.12     0.33     1 
1230392636   30.35460    112.93722    -0.32     -0.13     0.34     1 
1230392637   30.35412    112.96967    -0.23     -0.12     0.26     1 
1230392638   30.35362    113.00211    -0.32     -0.29     0.43     1 
1230392639   30.35312    113.03456    -0.18     -0.01     0.18     1 
1230392666   30.33655    113.91021    -0.07      0.06     0.09     1 
1230392668   30.33509    113.97504     0.18     -0.02     0.18     1 
1230392670   30.33360    114.03987    -0.02     -0.04     0.04     1 
1230392673   30.33130    114.13710     0.10     -0.05     0.11     1 
1230392674   30.33052    114.16951     0.14      0.11     0.18     1 
1230392683   30.32312    114.46112     0.11      0.18     0.21     1 
1230392686   30.32051    114.55830    -0.32      0.25     0.41     1 
1230392687   30.31962    114.59069     0.10     -0.05     0.11     1 
1230392691   30.31600    114.72024     0.09     -0.20     0.22     1 
1230392708   30.33111    112.83941    -0.22     -0.01     0.22     1 
1230392711   30.32971    112.93673    -0.28     -0.05     0.28     1 
1230392712   30.32922    112.96917    -0.31     -0.13     0.33     1 
1230392713   30.32873    113.00160    -0.25     -0.09     0.26     1 
1230392720   30.32506    113.22864    -0.21     -0.07     0.23     1 
1230392747   30.30721    114.10390     0.11     -0.46     0.47     1 
1230392762   30.29477    114.58978     0.25     -0.22     0.33     1 
1230392766   30.29115    114.71930    -0.09     -0.31     0.32     1 
1230392783   30.30622    112.83895    -0.21     -0.08     0.22     1 
1230392785   30.30529    112.90381    -0.31     -0.06     0.31     1 
1230392786   30.30482    112.93624    -0.26     -0.16     0.31     1 
1230392787   30.30433    112.96867    -0.19      0.07     0.20     1 
1230392818   30.28535    113.97353    -0.02      0.27     0.27     1 
1230392824   30.28078    114.16790     0.04     -0.01     0.04     1 
1230392825   30.27999    114.20029    -0.02      0.05     0.06     1 
1230392826   30.27920    114.23268    -0.06     -0.09     0.11     1 
1230392832   30.27425    114.42699     0.11     -0.15     0.19     1 
1230392834   30.27254    114.49175    -0.10     -0.09     0.13     1 
1230392835   30.27167    114.52412     0.17      0.13     0.22     1 
1230392836   30.27079    114.55650    -0.12      0.42     0.43     1 
1230392838   30.26902    114.62125     0.01     -0.16     0.16     1 
1230392841   30.26629    114.71836     0.18     -0.16     0.24     1 
1230392858   30.28132    112.83848    -0.34     -0.13     0.36     1 
1230392859   30.28087    112.87090     0.07     -0.01     0.07     1 
1230392860   30.28040    112.90333     0.10      0.09     0.14     1 
1230392862   30.27944    112.96817    -0.13     -0.16     0.21     1 
1230392864   30.27845    113.03301    -0.05     -0.12     0.13     1 
1230392868   30.27637    113.16268    -0.16     -0.11     0.19     1 
1230392888   30.26405    113.81082    -0.17      0.37     0.41     1 
1230392908   30.24854    114.45850     0.09      0.05     0.10     1 
1230392911   30.24593    114.55560     0.25     -0.25     0.36     1 
1230392934   30.25597    112.87043     0.13     -0.00     0.13     1 
1230392938   30.25406    113.00009    -0.18     -0.14     0.23     1 
1230392939   30.25356    113.03250    -0.19     -0.17     0.25     1 
1230392940   30.25305    113.06491    -0.24     -0.08     0.25     1 
1230392946   30.24984    113.25936    -0.19     -0.08     0.20     1 
1230392969   30.23486    114.00442     0.19      0.11     0.22     1 
1230392982   30.22453    114.42526     0.15     -0.03     0.15     1 
1230392983   30.22368    114.45763     0.55      0.29     0.62     2 
1230392985   30.22195    114.52235    -0.01     -0.31     0.31     1 
1230392988   30.21930    114.61942     0.04     -0.20     0.20     1 
1230393014   30.22867    113.03199     0.01     -0.27     0.27     1 
1230393042   30.21146    113.93891     0.28      0.22     0.36     1 
1230393051   30.20460    114.23024     0.15      0.00     0.15     1 
1230393056   30.20051    114.39204     0.13     -0.06     0.15     1 
1230393057   30.19966    114.42440     0.00     -0.02     0.02     1 
1230393084   30.20619    112.86949    -0.32     -0.24     0.40     1 
1230393131   30.17564    114.39119    -0.01      0.08     0.08     1 
1230393132   30.17480    114.42354     0.03      0.16     0.16     1 
1230393137   30.17048    114.58526     0.29     -0.20     0.35     1 
1230393138   30.16959    114.61760     0.19     -0.07     0.20     1 
1230393201   30.15486    114.22862     0.02      0.08     0.08     1 
1230393206   30.15078    114.39034     0.26     -0.03     0.26     1 
1230393209   30.14823    114.48736     0.32     -0.05     0.32     1 
1230393211   30.14650    114.55203     0.12     -0.04     0.12     1 
1230393231   30.15774    112.77140    -0.14     -0.18     0.23     1 
1230393276   30.12999    114.22781     0.31      0.04     0.31     1 
1230393277   30.12919    114.26014    -0.25      0.13     0.29     1 
1230393281   30.12592    114.38949     0.05      0.04     0.07     1 
1230393283   30.12423    114.45415     0.28      0.06     0.29     1 
1230393336   30.11616    113.74188    -0.08     -0.09     0.12     1 
1230393337   30.11548    113.77423    -0.10      0.03     0.10     1 
1230393352   30.10433    114.25933     0.03     -0.07     0.08     1 
1230393355   30.10188    114.35631     0.17      0.22     0.27     1 
1230393381   30.10795    112.77051    -0.16     -0.17     0.23     1 
1230393410   30.09195    113.70885    -0.12     -0.14     0.18     1 
1230393412   30.09060    113.77353     0.03     -0.14     0.14     1 
1230393413   30.08991    113.80588     0.19     -0.11     0.22     1 
1230393426   30.08026    114.22619     0.10      0.09     0.13     1 
1230393428   30.07865    114.29083    -0.00     -0.02     0.02     1 
1230393485   30.06707    113.70817    -0.03     -0.06     0.07     1 
1230393501   30.05539    114.22538    -0.15      0.18     0.24     1 
1230393502   30.05459    114.25769    -0.00      0.40     0.40     1 
1230393503   30.05379    114.29001     0.00     -0.09     0.09     1 
1230393557   30.04415    113.61051    -0.10     -0.14     0.17     1 
1230393574   30.03209    114.15996    -0.02     -0.47     0.47     1 
1230393577   30.02973    114.25688     0.02     -0.10     0.10     1 
1230393578   30.02892    114.28919     0.11     -0.18     0.21     1 
1230393579   30.02811    114.32149     0.14      0.07     0.16     1 
1230393631   30.01991    113.57754    -0.26      0.13     0.29     1 
1230393632   30.01927    113.60986    -0.13     -0.17     0.21     1 
1230393647   30.00876    114.09456     0.08     -0.09     0.12     1 
1230393651   30.00565    114.22377    -0.31      0.24     0.39     1 
1230393653   30.00405    114.28836     0.05     -0.39     0.40     1 
1230393708   29.99374    113.64152     0.00      0.29     0.29     1 
1230393716   29.98830    113.89999    -0.41     -0.09     0.42     1 
1230393719   29.98613    113.99689     0.43      0.42     0.60     2 
1230393720   29.98539    114.02919    -0.13     -0.27     0.30     1 
1230393723   29.98312    114.12608     0.05     -0.09     0.10     1 
1230393727   29.97999    114.25526    -0.02     -0.16     0.16     1 
1230393795   29.96052    114.02844    -0.25      0.07     0.25     1 
1230393866   29.93855    113.89854     0.23     -0.03     0.23     1 
1230393870   29.93564    114.02768    -0.35     -0.25     0.43     1 
1230393873   29.93338    114.12453    -0.33      0.37     0.50     1 
1230393877   29.93025    114.25363     0.18     -0.05     0.18     1 
1230393878   29.92945    114.28591     0.01      0.03     0.03     1 
1230393941   29.91367    113.89782    -0.05      0.07     0.09     1 
1230393946   29.91003    114.05920     0.33     -0.02     0.33     1 
1230394010   29.89291    113.70345    -0.22     -0.19     0.29     1 
1230394015   29.88950    113.86483     0.11      0.06     0.13     1 
1230394016   29.88880    113.89710    -0.08     -0.15     0.17     1 
1230394056   29.88389    112.76654    -0.41     -0.34     0.54     2 
1230394086   29.86736    113.73505     0.00     -0.05     0.05     1 
1230394087   29.86669    113.76732     0.20     -0.13     0.23     1 
1230394129   29.85984    112.70152    -0.30     -0.42     0.52     2 
1230394160   29.84315    113.70211     0.38     -0.29     0.48     1 
1230394162   29.84181    113.76663    -0.10     -0.07     0.12     1 
1230394233   29.81957    113.63693     0.04      0.10     0.10     1 
1230394235   29.81827    113.70144    -0.15     -0.06     0.17     1 
1230394236   29.81760    113.73369     0.12     -0.30     0.33     1 
1230394243   29.81274    113.95944    -0.08     -0.12     0.14     1 
1230394307   29.79533    113.60402     0.08     -0.09     0.12     1 
1230394311   29.79272    113.73301     0.06      0.10     0.12     1 
1230394333   29.77615    114.44213     0.30     -0.37     0.47     1 
1230394457   29.74556    113.60274     0.11      0.10     0.14     1 
1230394458   29.74492    113.63497    -0.08      0.08     0.11     1 
1230394465   29.74024    113.86057     0.18     -0.26     0.31     1 
1230394579   29.71045    112.69899     0.14     -0.08     0.16     1 
1230394601   29.69946    113.40813    -0.22     -0.08     0.23     1 
1230394602   29.69886    113.44035     0.03      0.24     0.24     1 
1230394603   29.69827    113.47257    -0.21     -0.05     0.21     1 
1230394606   29.69643    113.56923    -0.14     -0.04     0.15     1 
1230394616   29.68978    113.89137     0.04      0.08     0.09     1 
1230394617   29.68907    113.92358    -0.00     -0.11     0.11     1 
1230394618   29.68836    113.95578     0.01     -0.17     0.17     1 
1230394619   29.68764    113.98799     0.06     -0.09     0.11     1 
1230394620   29.68690    114.02019    -0.02     -0.13     0.13     1 
1230394621   29.68617    114.05240     0.06     -0.06     0.09     1 
1230394654   29.68556    112.69858    -0.48     -0.15     0.50     2 
1230394664   29.68103    113.02088    -0.24     -0.14     0.27     1 
1230394676   29.67457    113.40753    -0.15     -0.39     0.42     1 
1230394682   29.67091    113.60081    -0.04      0.04     0.05     1 
1230394691   29.66490    113.89066     0.06     -0.19     0.20     1 
1230394692   29.66420    113.92286    -0.10     -0.23     0.25     1 
1230394728   29.66107    112.66593    -0.19     -0.03     0.19     1 
1230394749   29.65084    113.34252    -0.26     -0.22     0.34     1 
1230394756   29.64666    113.56797    -0.31      0.15     0.34     1 
1230394757   29.64603    113.60017    -0.25     -0.13     0.28     1 
1230394785   29.62528    114.50138    -0.01     -0.17     0.17     1 
1230394824   29.62595    113.34194    -0.02     -0.15     0.15     1 
1230394898   29.60162    113.30917     0.14     -0.12     0.19     1 
1230394922   29.58593    114.08156     0.16     -0.14     0.21     1 
1230394923   29.58518    114.11373     0.35      0.09     0.36     1 
1230394993   29.56398    113.95215     0.45      0.02     0.45     1 
